Overall Statistics
Metric,Value,Percentage,Total
Total Branches,483,100.0%,483
Total Predicts,425,87.99%,425
Total Mispredicts,58,12.01%,58
Predict Rate,87.99%,,

Index Access Statistics
Metric,Count,Percentage,Total
Unique Indices (n),4,0.83%,4
Index Hits (N),479,99.17%,479
Replacements,0,0.00%,0

Per-Index Statistics
Index,Total Branches,Predicts,Mispredicts,Predict Rate,Total Branches,Total Predicts,Total Mispredicts
2,89,70,19,78.65%,89,70,19
10,17,14,3,82.35%,17,14,3
11,73,55,18,75.34%,73,55,18
13,304,286,18,94.08%,304,286,18

Iteration-by-Iteration Statistics
Iteration,Total Branches,Total Predicts,Total Mispredicts,Predict Rate,Unique Indices,Index Hits,Index,Prediction,Outcome,Is Predict
1,1,0,1,0.00%,1,0,10,0,1,False
2,2,0,2,0.00%,2,0,13,0,1,False
3,3,0,3,0.00%,2,1,13,0,1,False
4,4,1,3,25.00%,2,2,13,1,1,True
5,5,1,4,20.00%,2,3,13,1,0,False
6,6,1,5,16.67%,3,3,2,0,1,False
7,7,1,6,14.29%,4,3,11,0,1,False
8,8,2,6,25.00%,4,4,2,0,0,True
9,9,2,7,22.22%,4,5,10,0,1,False
10,10,3,7,30.00%,4,6,13,1,1,True
11,11,4,7,36.36%,4,7,13,1,1,True
12,12,5,7,41.67%,4,8,13,1,1,True
13,13,6,7,46.15%,4,9,13,1,1,True
14,14,7,7,50.00%,4,10,13,1,1,True
15,15,7,8,46.67%,4,11,13,1,0,False
16,16,7,9,43.75%,4,12,2,0,1,False
17,17,7,10,41.18%,4,13,11,0,1,False
18,18,8,10,44.44%,4,14,2,0,0,True
19,19,9,10,47.37%,4,15,10,1,1,True
20,20,10,10,50.00%,4,16,13,1,1,True
21,21,11,10,52.38%,4,17,13,1,1,True
22,22,12,10,54.55%,4,18,13,1,1,True
23,23,13,10,56.52%,4,19,13,1,1,True
24,24,14,10,58.33%,4,20,13,1,1,True
25,25,15,10,60.00%,4,21,13,1,1,True
26,26,16,10,61.54%,4,22,13,1,1,True
27,27,16,11,59.26%,4,23,13,1,0,False
28,28,16,12,57.14%,4,24,2,0,1,False
29,29,16,13,55.17%,4,25,11,1,0,False
30,30,16,14,53.33%,4,26,2,0,1,False
31,31,16,15,51.61%,4,27,11,0,1,False
32,32,16,16,50.00%,4,28,2,1,0,False
33,33,17,16,51.52%,4,29,10,1,1,True
34,34,18,16,52.94%,4,30,13,1,1,True
35,35,19,16,54.29%,4,31,13,1,1,True
36,36,20,16,55.56%,4,32,13,1,1,True
37,37,21,16,56.76%,4,33,13,1,1,True
38,38,22,16,57.89%,4,34,13,1,1,True
39,39,23,16,58.97%,4,35,13,1,1,True
40,40,24,16,60.00%,4,36,13,1,1,True
41,41,25,16,60.98%,4,37,13,1,1,True
42,42,26,16,61.90%,4,38,13,1,1,True
43,43,26,17,60.47%,4,39,13,1,0,False
44,44,26,18,59.09%,4,40,2,0,1,False
45,45,26,19,57.78%,4,41,11,1,0,False
46,46,27,19,58.70%,4,42,2,1,1,True
47,47,28,19,59.57%,4,43,11,0,0,True
48,48,29,19,60.42%,4,44,2,1,1,True
49,49,29,20,59.18%,4,45,11,0,1,False
50,50,29,21,58.00%,4,46,2,1,0,False
51,51,30,21,58.82%,4,47,10,1,1,True
52,52,31,21,59.62%,4,48,13,1,1,True
53,53,32,21,60.38%,4,49,13,1,1,True
54,54,33,21,61.11%,4,50,13,1,1,True
55,55,34,21,61.82%,4,51,13,1,1,True
56,56,35,21,62.50%,4,52,13,1,1,True
57,57,36,21,63.16%,4,53,13,1,1,True
58,58,37,21,63.79%,4,54,13,1,1,True
59,59,38,21,64.41%,4,55,13,1,1,True
60,60,39,21,65.00%,4,56,13,1,1,True
61,61,40,21,65.57%,4,57,13,1,1,True
62,62,41,21,66.13%,4,58,13,1,1,True
63,63,41,22,65.08%,4,59,13,1,0,False
64,64,42,22,65.62%,4,60,2,1,1,True
65,65,43,22,66.15%,4,61,11,0,0,True
66,66,44,22,66.67%,4,62,2,1,1,True
67,67,44,23,65.67%,4,63,11,0,1,False
68,68,44,24,64.71%,4,64,2,1,0,False
69,69,45,24,65.22%,4,65,10,1,1,True
70,70,46,24,65.71%,4,66,13,1,1,True
71,71,47,24,66.20%,4,67,13,1,1,True
72,72,48,24,66.67%,4,68,13,1,1,True
73,73,49,24,67.12%,4,69,13,1,1,True
74,74,50,24,67.57%,4,70,13,1,1,True
75,75,51,24,68.00%,4,71,13,1,1,True
76,76,52,24,68.42%,4,72,13,1,1,True
77,77,53,24,68.83%,4,73,13,1,1,True
78,78,54,24,69.23%,4,74,13,1,1,True
79,79,55,24,69.62%,4,75,13,1,1,True
80,80,56,24,70.00%,4,76,13,1,1,True
81,81,57,24,70.37%,4,77,13,1,1,True
82,82,58,24,70.73%,4,78,13,1,1,True
83,83,58,25,69.88%,4,79,13,1,0,False
84,84,59,25,70.24%,4,80,2,1,1,True
85,85,60,25,70.59%,4,81,11,0,0,True
86,86,61,25,70.93%,4,82,2,1,1,True
87,87,62,25,71.26%,4,83,11,0,0,True
88,88,63,25,71.59%,4,84,2,1,1,True
89,89,63,26,70.79%,4,85,11,0,1,False
90,90,63,27,70.00%,4,86,2,1,0,False
91,91,64,27,70.33%,4,87,10,1,1,True
92,92,65,27,70.65%,4,88,13,1,1,True
93,93,66,27,70.97%,4,89,13,1,1,True
94,94,67,27,71.28%,4,90,13,1,1,True
95,95,68,27,71.58%,4,91,13,1,1,True
96,96,69,27,71.88%,4,92,13,1,1,True
97,97,70,27,72.16%,4,93,13,1,1,True
98,98,71,27,72.45%,4,94,13,1,1,True
99,99,72,27,72.73%,4,95,13,1,1,True
100,100,73,27,73.00%,4,96,13,1,1,True
101,101,74,27,73.27%,4,97,13,1,1,True
102,102,75,27,73.53%,4,98,13,1,1,True
103,103,76,27,73.79%,4,99,13,1,1,True
104,104,77,27,74.04%,4,100,13,1,1,True
105,105,78,27,74.29%,4,101,13,1,1,True
106,106,79,27,74.53%,4,102,13,1,1,True
107,107,79,28,73.83%,4,103,13,1,0,False
108,108,80,28,74.07%,4,104,2,1,1,True
109,109,81,28,74.31%,4,105,11,0,0,True
110,110,82,28,74.55%,4,106,2,1,1,True
111,111,83,28,74.77%,4,107,11,0,0,True
112,112,84,28,75.00%,4,108,2,1,1,True
113,113,85,28,75.22%,4,109,11,0,0,True
114,114,86,28,75.44%,4,110,2,1,1,True
115,115,86,29,74.78%,4,111,11,0,1,False
116,116,86,30,74.14%,4,112,2,1,0,False
117,117,87,30,74.36%,4,113,10,1,1,True
118,118,88,30,74.58%,4,114,13,1,1,True
119,119,89,30,74.79%,4,115,13,1,1,True
120,120,90,30,75.00%,4,116,13,1,1,True
121,121,91,30,75.21%,4,117,13,1,1,True
122,122,92,30,75.41%,4,118,13,1,1,True
123,123,93,30,75.61%,4,119,13,1,1,True
124,124,94,30,75.81%,4,120,13,1,1,True
125,125,95,30,76.00%,4,121,13,1,1,True
126,126,96,30,76.19%,4,122,13,1,1,True
127,127,97,30,76.38%,4,123,13,1,1,True
128,128,98,30,76.56%,4,124,13,1,1,True
129,129,99,30,76.74%,4,125,13,1,1,True
130,130,100,30,76.92%,4,126,13,1,1,True
131,131,101,30,77.10%,4,127,13,1,1,True
132,132,102,30,77.27%,4,128,13,1,1,True
133,133,103,30,77.44%,4,129,13,1,1,True
134,134,104,30,77.61%,4,130,13,1,1,True
135,135,104,31,77.04%,4,131,13,1,0,False
136,136,105,31,77.21%,4,132,2,1,1,True
137,137,106,31,77.37%,4,133,11,0,0,True
138,138,107,31,77.54%,4,134,2,1,1,True
139,139,108,31,77.70%,4,135,11,0,0,True
140,140,109,31,77.86%,4,136,2,1,1,True
141,141,110,31,78.01%,4,137,11,0,0,True
142,142,111,31,78.17%,4,138,2,1,1,True
143,143,111,32,77.62%,4,139,11,0,1,False
144,144,111,33,77.08%,4,140,2,1,0,False
145,145,112,33,77.24%,4,141,10,1,1,True
146,146,113,33,77.40%,4,142,13,1,1,True
147,147,114,33,77.55%,4,143,13,1,1,True
148,148,115,33,77.70%,4,144,13,1,1,True
149,149,116,33,77.85%,4,145,13,1,1,True
150,150,117,33,78.00%,4,146,13,1,1,True
151,151,118,33,78.15%,4,147,13,1,1,True
152,152,119,33,78.29%,4,148,13,1,1,True
153,153,120,33,78.43%,4,149,13,1,1,True
154,154,121,33,78.57%,4,150,13,1,1,True
155,155,122,33,78.71%,4,151,13,1,1,True
156,156,123,33,78.85%,4,152,13,1,1,True
157,157,124,33,78.98%,4,153,13,1,1,True
158,158,125,33,79.11%,4,154,13,1,1,True
159,159,126,33,79.25%,4,155,13,1,1,True
160,160,127,33,79.38%,4,156,13,1,1,True
161,161,128,33,79.50%,4,157,13,1,1,True
162,162,129,33,79.63%,4,158,13,1,1,True
163,163,130,33,79.75%,4,159,13,1,1,True
164,164,131,33,79.88%,4,160,13,1,1,True
165,165,131,34,79.39%,4,161,13,1,0,False
166,166,132,34,79.52%,4,162,2,1,1,True
167,167,133,34,79.64%,4,163,11,0,0,True
168,168,134,34,79.76%,4,164,2,1,1,True
169,169,135,34,79.88%,4,165,11,0,0,True
170,170,136,34,80.00%,4,166,2,1,1,True
171,171,137,34,80.12%,4,167,11,0,0,True
172,172,138,34,80.23%,4,168,2,1,1,True
173,173,139,34,80.35%,4,169,11,0,0,True
174,174,140,34,80.46%,4,170,2,1,1,True
175,175,140,35,80.00%,4,171,11,0,1,False
176,176,140,36,79.55%,4,172,2,1,0,False
177,177,141,36,79.66%,4,173,10,1,1,True
178,178,142,36,79.78%,4,174,13,1,1,True
179,179,143,36,79.89%,4,175,13,1,1,True
180,180,144,36,80.00%,4,176,13,1,1,True
181,181,145,36,80.11%,4,177,13,1,1,True
182,182,146,36,80.22%,4,178,13,1,1,True
183,183,147,36,80.33%,4,179,13,1,1,True
184,184,148,36,80.43%,4,180,13,1,1,True
185,185,149,36,80.54%,4,181,13,1,1,True
186,186,150,36,80.65%,4,182,13,1,1,True
187,187,151,36,80.75%,4,183,13,1,1,True
188,188,152,36,80.85%,4,184,13,1,1,True
189,189,153,36,80.95%,4,185,13,1,1,True
190,190,154,36,81.05%,4,186,13,1,1,True
191,191,155,36,81.15%,4,187,13,1,1,True
192,192,156,36,81.25%,4,188,13,1,1,True
193,193,157,36,81.35%,4,189,13,1,1,True
194,194,158,36,81.44%,4,190,13,1,1,True
195,195,159,36,81.54%,4,191,13,1,1,True
196,196,160,36,81.63%,4,192,13,1,1,True
197,197,161,36,81.73%,4,193,13,1,1,True
198,198,162,36,81.82%,4,194,13,1,1,True
199,199,162,37,81.41%,4,195,13,1,0,False
200,200,163,37,81.50%,4,196,2,1,1,True
201,201,164,37,81.59%,4,197,11,0,0,True
202,202,165,37,81.68%,4,198,2,1,1,True
203,203,166,37,81.77%,4,199,11,0,0,True
204,204,167,37,81.86%,4,200,2,1,1,True
205,205,168,37,81.95%,4,201,11,0,0,True
206,206,169,37,82.04%,4,202,2,1,1,True
207,207,170,37,82.13%,4,203,11,0,0,True
208,208,171,37,82.21%,4,204,2,1,1,True
209,209,172,37,82.30%,4,205,11,0,0,True
210,210,173,37,82.38%,4,206,2,1,1,True
211,211,173,38,81.99%,4,207,11,0,1,False
212,212,173,39,81.60%,4,208,2,1,0,False
213,213,174,39,81.69%,4,209,10,1,1,True
214,214,175,39,81.78%,4,210,13,1,1,True
215,215,176,39,81.86%,4,211,13,1,1,True
216,216,177,39,81.94%,4,212,13,1,1,True
